ID,Sex,Group,Axis,Region,Arc:DAPI
DC1,F,MWT,Dorsal,CA1,0.221311475
DC2,F,MWT,Dorsal,CA1,0.246031746
DC3,M,CFD,Dorsal,CA1,0.297752809
DC4,M,MWT,Dorsal,CA1,0.245901639
DC5,M,CFD,Dorsal,CA1,0.269230769
DC6,F,CFD,Dorsal,CA1,0.109195402
DC7,F,MWT,Dorsal,CA1,0.327868853
DC8,M,MWT,Dorsal,CA1,0.280373832
DC9,F,CFD,Dorsal,CA1,0.326732673
DC10,M,CFD,Dorsal,CA1,0.21
DC11,F,CFD,Dorsal,CA1,0.255813954
DC12,M,MWT,Dorsal,CA1,0.217741936
DC13,F,CFD,Dorsal,CA1,0.282758621
DC14,M,CFD,Dorsal,CA1,0.277372263
DC15,M,MWT,Dorsal,CA1,0.225352113
DC16,M,CFD,Dorsal,CA1,0.181415929
DC17,M,CFD,Dorsal,CA1,0.211764706
DC18,M,MWT,Dorsal,CA1,0.177083333
DC19,M,MWT,Dorsal,CA1,0.169230769
DC20,F,CFD,Dorsal,CA1,0.279187817
DC21,F,MWT,Dorsal,CA1,0.238341969
DC22,F,MWT,Dorsal,CA1,0.364035088
DC23,F,MWT,Dorsal,CA1,0.198275862
DC24,F,CFD,Dorsal,CA1,0.275423729
DC1,F,MWT,Ventral,CA1,0.060402685
DC2,F,MWT,Ventral,CA1,0.111888112
DC3,M,CFD,Ventral,CA1,0.128378378
DC4,M,MWT,Ventral,CA1,0.14379085
DC5,M,CFD,Ventral,CA1,0.061643836
DC6,F,CFD,Ventral,CA1,0.125
DC7,F,MWT,Ventral,CA1,0.100436681
DC8,M,MWT,Ventral,CA1,0.115015974
DC9,F,CFD,Ventral,CA1,0.082608696
DC10,M,CFD,Ventral,CA1,0.18705036
DC11,F,CFD,Ventral,CA1,0.149038462
DC12,M,MWT,Ventral,CA1,0.128078818
DC13,F,CFD,Ventral,CA1,0.243076923
DC14,M,CFD,Ventral,CA1,0.118110236
DC15,M,MWT,Ventral,CA1,0.060301508
DC16,M,CFD,Ventral,CA1,0.1171875
DC17,M,CFD,Ventral,CA1,0.111111111
DC18,M,MWT,Ventral,CA1,0.12145749
DC19,M,MWT,Ventral,CA1,0.088888889
DC20,F,CFD,Ventral,CA1,0.100977199
DC21,F,MWT,Ventral,CA1,0.125
DC22,F,MWT,Ventral,CA1,0.223628692
DC23,F,MWT,Ventral,CA1,0.122065728
DC24,F,CFD,Ventral,CA1,0.104046243
DC1,F,MWT,Dorsal,CA3,0.16
DC2,F,MWT,Dorsal,CA3,0.20192
DC3,M,CFD,Dorsal,CA3,0.053572063
DC4,M,MWT,Dorsal,CA3,0.106871945
DC5,M,CFD,Dorsal,CA3,0.14844
DC6,F,CFD,Dorsal,CA3,0.084035481
DC7,F,MWT,Dorsal,CA3,0.209302326
DC8,M,MWT,Dorsal,CA3,0.132653105
DC9,F,CFD,Dorsal,CA3,0.139344297
DC10,M,CFD,Dorsal,CA3,0.085106383
DC11,F,CFD,Dorsal,CA3,0.142857143
DC12,M,MWT,Dorsal,CA3,0.113207538
DC13,F,CFD,Dorsal,CA3,0.127451022
DC14,M,CFD,Dorsal,CA3,0.117647059
DC15,M,MWT,Dorsal,CA3,0.055776891
DC16,M,CFD,Dorsal,CA3,0.014760147
DC17,M,CFD,Dorsal,CA3,0.059829094
DC18,M,MWT,Dorsal,CA3,NaN
DC19,M,MWT,Dorsal,CA3,0.155844156
DC20,F,CFD,Dorsal,CA3,0.206060601
DC21,F,MWT,Dorsal,CA3,0.041666667
DC22,F,MWT,Dorsal,CA3,0.046511628
DC23,F,MWT,Dorsal,CA3,0.137404576
DC24,F,CFD,Dorsal,CA3,0.145945966
DC1,F,MWT,Ventral,CA3,0.036585271
DC2,F,MWT,Ventral,CA3,0.073335571
DC3,M,CFD,Ventral,CA3,0.034482759
DC4,M,MWT,Ventral,CA3,0.041666667
DC5,M,CFD,Ventral,CA3,0.018635516
DC6,F,CFD,Ventral,CA3,0.051612797
DC7,F,MWT,Ventral,CA3,0.037735848
DC8,M,MWT,Ventral,CA3,0.066666691
DC9,F,CFD,Ventral,CA3,0.029850746
DC10,M,CFD,Ventral,CA3,0.034883737
DC11,F,CFD,Ventral,CA3,0.037037037
DC12,M,MWT,Ventral,CA3,0.105263158
DC13,F,CFD,Ventral,CA3,0.062827225
DC14,M,CFD,Ventral,CA3,0.046875
DC15,M,MWT,Ventral,CA3,0.027272766
DC16,M,CFD,Ventral,CA3,0.036585418
DC17,M,CFD,Ventral,CA3,0.019305035
DC18,M,MWT,Ventral,CA3,NaN
DC19,M,MWT,Ventral,CA3,0.029629629
DC20,F,CFD,Ventral,CA3,0.053140116
DC21,F,MWT,Ventral,CA3,0.027777778
DC22,F,MWT,Ventral,CA3,0.032085561
DC23,F,MWT,Ventral,CA3,0.048148164
DC24,F,CFD,Ventral,CA3,0.09160305
DC1,F,MWT,Dorsal,DG,0.023758129
DC2,F,MWT,Dorsal,DG,0.032338319
DC3,M,CFD,Dorsal,DG,0.017208421
DC4,M,MWT,Dorsal,DG,0.035087719
DC5,M,CFD,Dorsal,DG,0.050438606
DC6,F,CFD,Dorsal,DG,0.02946593
DC7,F,MWT,Dorsal,DG,0.018181829
DC8,M,MWT,Dorsal,DG,0.026315789
DC9,F,CFD,Dorsal,DG,0.029824569
DC10,M,CFD,Dorsal,DG,0.020408163
DC11,F,CFD,Dorsal,DG,0.016348774
DC12,M,MWT,Dorsal,DG,0.035483885
DC13,F,CFD,Dorsal,DG,0.040767396
DC14,M,CFD,Dorsal,DG,0.019073581
DC15,M,MWT,Dorsal,DG,0.013232522
DC16,M,CFD,Dorsal,DG,0.021212121
DC17,M,CFD,Dorsal,DG,0.075718026
DC18,M,MWT,Dorsal,DG,0.034755134
DC19,M,MWT,Dorsal,DG,0.022633754
DC20,F,CFD,Dorsal,DG,0.071428571
DC21,F,MWT,Dorsal,DG,NaN
DC22,F,MWT,Dorsal,DG,0.041297935
DC23,F,MWT,Dorsal,DG,0.056497174
DC24,F,CFD,Dorsal,DG,0.027918793
DC1,F,MWT,Ventral,DG,0.01084991
DC2,F,MWT,Ventral,DG,0.042229737
DC3,M,CFD,Ventral,DG,0.006451613
DC4,M,MWT,Ventral,DG,0.01758794
DC5,M,CFD,Ventral,DG,0.024869116
DC6,F,CFD,Ventral,DG,0.0332851
DC7,F,MWT,Ventral,DG,0.01996008
DC8,M,MWT,Ventral,DG,0.013784467
DC9,F,CFD,Ventral,DG,0.007194245
DC10,M,CFD,Ventral,DG,0.032894746
DC11,F,CFD,Ventral,DG,0.008417516
DC12,M,MWT,Ventral,DG,0.018036081
DC13,F,CFD,Ventral,DG,0.060948081
DC14,M,CFD,Ventral,DG,0.003571429
DC15,M,MWT,Ventral,DG,0.007532957
DC16,M,CFD,Ventral,DG,0.066037736
DC17,M,CFD,Ventral,DG,0.064676617
DC18,M,MWT,Ventral,DG,0.049715915
DC19,M,MWT,Ventral,DG,0.014992504
DC20,F,CFD,Ventral,DG,0.070312507
DC21,F,MWT,Ventral,DG,NaN
DC22,F,MWT,Ventral,DG,0.050505054
DC23,F,MWT,Ventral,DG,0.023346303
DC24,F,CFD,Ventral,DG,0.010893255
