Perfusion Group,Sex,Animal ID,Dummy Code,Day,Average latency (sec),Target quadrant dwelling (%),Non-target quadrant dwelling (%),dDG Arc:DAPI,vDG Arc:DAPI,dCA3 Arc:DAPI,vCA3 Arc:DAPI,dCA1 Arc:DAPI,vCA1 Arc:DAPI
CFD,M,2338-0,,1,12.54,38.51674641,20.49441786,None,None,None,None,None,None
CFD,M,2338-1,,1,18.43,36.73358654,21.08880449,None,None,None,None,None,None
CFD,M,2338-2,,1,25.395,30.51781847,23.16072718,None,None,None,None,None,None
CFD,M,2339-0,,1,36.855,28.62569529,23.7914349,None,None,None,None,None,None
CFD,M,2339-1,,1,16.225,33.86748844,22.04417052,None,None,None,None,None,None
CFD,M,2339-2,,1,16.65,34.5045045,21.83183183,None,None,None,None,None,None
CFD,F,2342-0,,1,25.455,33.11726576,22.29424475,None,None,None,None,None,None
CFD,F,2342-1,,1,28.115,29.96621021,23.3445966,None,None,None,None,None,None
CFD,F,2342-2,,1,15.005,31.38953682,22.87015439,None,None,None,None,None,None
CFD,F,2343-0,,1,25.725,30.67055394,23.10981535,None,None,None,None,None,None
CFD,F,2343-1,,1,20.955,34.78883321,21.7370556,None,None,None,None,None,None
CFD,F,2343-2,,1,20.045,32.90097281,22.3663424,None,None,None,None,None,None
CFD,M,2338-0,,2,11.995,37.2655273,20.9114909,None,None,None,None,None,None
CFD,M,2338-1,,2,9.935,48.51534977,17.16155008,None,None,None,None,None,None
CFD,M,2338-2,,2,6.105,49.87714988,16.70761671,None,None,None,None,None,None
CFD,M,2339-0,,2,10.55,46.16113744,17.94628752,None,None,None,None,None,None
CFD,M,2339-1,,2,6.885,38.5620915,20.47930283,None,None,None,None,None,None
CFD,M,2339-2,,2,6.975,51.46953405,16.17682198,None,None,None,None,None,None
CFD,F,2342-0,,2,14.51,36.04410751,21.31863083,None,None,None,None,None,None
CFD,F,2342-1,,2,7.975,46.39498433,17.86833856,None,None,None,None,None,None
CFD,F,2342-2,,2,10.74,48.13780261,17.28739913,None,None,None,None,None,None
CFD,F,2343-0,,2,8.505,39.329806,20.223398,None,None,None,None,None,None
CFD,F,2343-1,,2,14.3,31.92307692,22.69230769,None,None,None,None,None,None
CFD,F,2343-2,,2,11.14,40.03590664,19.98803112,None,None,None,None,None,None
CFD,M,2338-0,,3,8.48,44.5754717,18.47484277,None,None,None,None,None,None
CFD,M,2338-1,,3,9.825,44.73282443,18.42239186,None,None,None,None,None,None
CFD,M,2338-2,,3,6.035,50.78707539,16.4043082,None,None,None,None,None,None
CFD,M,2339-0,,3,5.09,48.72298625,17.09233792,None,None,None,None,None,None
CFD,M,2339-1,,3,7.935,42.84814115,19.05061962,None,None,None,None,None,None
CFD,M,2339-2,,3,4.82,59.85477178,13.38174274,None,None,None,None,None,None
CFD,F,2342-0,,3,8.16,53.55392157,15.48202614,None,None,None,None,None,None
CFD,F,2342-1,,3,7.355,43.84772264,18.71742579,None,None,None,None,None,None
CFD,F,2342-2,,3,12.82,24.4149766,25.1950078,None,None,None,None,None,None
CFD,F,2343-0,,3,8.245,36.44633111,21.1845563,None,None,None,None,None,None
CFD,F,2343-1,,3,12.4,28.18548387,23.93817204,None,None,None,None,None,None
